Fixed,Naive,Honest_Split
0.64,0.368,0.99
0.34,0.278,0.484
0.016,0.01,0.136
0.544,0.306,0.402
0.46,0.234,0.634
0.056,0.034,0.476
0.466,0.336,0.3
0.286,0.236,0.22
0.098,0.064,0.124
0.482,0.416,0.502
0.87,0.784,0.332
0.57,0.37,0.64
0.24,0.2,0.326
0.996,0.838,0.798
0.946,0.616,0.876
0.834,0.472,0.842
0.61,0.29,0.766
0.63,0.478,0.938
0.054,0.022,0.286
0.68,0.636,0.046
0.124,0.116,0.674
0.426,0.24,0.218
0.996,0.934,0.782
0.222,0.146,0.918
0.392,0.342,0.996
0.13,0.082,0.262
0.478,0.306,0.458
0.362,0.222,0.566
0.656,0.516,0.314
0.41,0.262,0.67
0.4,0.282,0.496
0.076,0.064,0.172
0.292,0.124,0.142
0.986,0.876,0.798
0.872,0.736,0.944
0.056,0.022,0.084
0.704,0.596,0.86
0.9,0.652,0.366
0.148,0.092,0.3
0.49,0.256,0.2
0.396,0.366,0.658
0.742,0.51,0.996
0.952,0.822,0.878
0.934,0.752,0.67
0.27,0.214,0.112
0.912,0.802,0.212
0.742,0.55,0.962
0.192,0.05,0.008
0.842,0.81,0.096
0.316,0.266,0.924
0.438,0.218,0.882
0.7,0.7,0.5
0.664,0.362,0.124
0.26,0.216,0.638
0.02,0.014,0.12
0.744,0.616,0.71
0.86,0.644,0.26
0.888,0.498,0.696
0.724,0.302,0.716
0.89,0.528,0.93
0.524,0.532,0.748
0.998,0.856,0.188
0.4,0.21,0.672
0.942,0.904,0.898
0.94,0.846,0.098
0.27,0.164,0.812
0.534,0.34,0.964
0.904,0.658,0.442
0.338,0.204,0.64
0.856,0.754,0.968
0.642,0.428,0.92
0.732,0.456,0.37
0.252,0.112,0.232
0.368,0.082,0.43
0.56,0.406,0.376
0.236,0.074,0.812
0.56,0.372,0.786
0.438,0.318,0.204
0.178,0.112,0.7
0.182,0.146,0.518
0.992,0.782,0.982
0.558,0.386,0.388
0.83,0.658,0.496
0.476,0.156,0.064
0.882,0.588,0.644
0.994,0.978,0.824
0.72,0.536,0.154
0.186,0.09,0.188
0.798,0.616,0.978
0.108,0.07,0.61
0.048,0.036,0.68
0.604,0.43,0.754
0.932,0.804,0.824
0.64,0.356,0.456
0.642,0.358,0.71
0.702,0.676,0.674
0.21,0.076,0.244
0.582,0.428,0.216
0.912,0.676,0.984
0.116,0.09,0.282
0.548,0.408,0.522
0.354,0.346,0.654
0.216,0.12,0.266
0.83,0.648,0.766
0.99,0.808,0.894
0.09,0.05,0.484
0.69,0.47,0.664
0.56,0.392,0.518
0.418,0.13,0.148
0.964,0.874,0.276
0.534,0.458,0.804
0.474,0.282,0.728
0.944,0.796,0.664
0.104,0.044,0.216
0.842,0.778,0.856
0.48,0.258,0.55
0.392,0.294,0.344
0.182,0.154,0.206
0.814,0.53,0.502
0.602,0.318,0.944
0.868,0.614,0.408
0.048,0.018,0.026
0.842,0.678,0.456
0.186,0.162,0.65
0.064,0.046,0.184
0.476,0.452,0.4
0.446,0.31,0.276
0.894,0.604,0.938
0.082,0.058,0.25
0.67,0.664,0.888
0.332,0.236,0.598
0.512,0.376,0.204
